Performance counter,Mnemonic,Median,199,455
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,4,6,4
MISALIGN_MEM_REF.STORES,r0205:u,19,22,20
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,143,327876,327877
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,336,322,312
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,268,269,267
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,268,270,266
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,6124,6206,6005
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,342,292,330
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,344,395,302
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,164,166,136
INT_MISC.RECOVERY_CYCLES,r030d:u,11511,12345,9256
UOPS_ISSUED.ANY,r010e:u,1212589,1215100,1199389
UOPS_ISSUED.FLAGS_MERGE,r100e:u,758,779,726
UOPS_ISSUED.SLOW_LEA,r200e:u,1006,1056,900
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,677,701,537
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,540,599,364
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1463,1576,1178
L2_RQSTS.RFO_HIT,r4224:u,62,64,61
L2_RQSTS.RFO_MISS,r2224:u,107,109,113
L2_RQSTS.ALL_RFO,re224:u,214,217,214
L2_RQSTS.CODE_RD_HIT,r4424:u,530,532,576
L2_RQSTS.CODE_RD_MISS,r2424:u,1107,1107,1161
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1894,1950,1995
