Performance counter,Mnemonic,Median,200,456
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,4,5,0
MISALIGN_MEM_REF.STORES,r0205:u,1,1,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,149,327883,327909
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,332,312,321
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,272,268,276
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,272,269,276
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,6223,6119,6245
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,168,168,150
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,170,171,174
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,155,131,156
INT_MISC.RECOVERY_CYCLES,r030d:u,10837,8933,11153
UOPS_ISSUED.ANY,r010e:u,1208534,1198182,1209554
UOPS_ISSUED.FLAGS_MERGE,r100e:u,622,645,621
UOPS_ISSUED.SLOW_LEA,r200e:u,910,1021,906
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,507,511,500
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,341,347,350
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1094,1091,1117
L2_RQSTS.RFO_HIT,r4224:u,69,69,68
L2_RQSTS.RFO_MISS,r2224:u,122,127,128
L2_RQSTS.ALL_RFO,re224:u,240,242,247
L2_RQSTS.CODE_RD_HIT,r4424:u,373,446,366
L2_RQSTS.CODE_RD_MISS,r2424:u,1166,1271,1145
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1795,1905,1778
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,2878,2778,2732
L2_RQSTS.ALL_CODE_RD,re424:u,1542,1467,1430
L2_RQSTS.L2_PF_HIT,r5024:u,236,220,206
L2_RQSTS.L2_PF_MISS,r3024:u,924,907,915
L2_RQSTS.ALL_PF,rf824:u,1934,1910,1886
L2_RQSTS.MISS,r3f24:u,2994,2969,2899
L2_RQSTS.REFERENCES,rff24:u,4809,4743,4631
L2_DEMAND_RQSTS.WB_HIT,r5027:u,220,222,225
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,2105,2143,2031
LONGEST_LAT_CACHE.MISS,cache-misses:u,2,2,1
CPU_CLK_UNHALTED.THREAD_P,cycles:u,689130,825089,816016
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,19658,23574,23315
L1D_PEND_MISS.PENDING,r0148:u,22937,22967,22009
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,76,73,71
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,54,54,52
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0,0,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,54,54,53
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,1367,1334,1373
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,296,297,295
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0,0,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,296,296,294
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,54,46,53
LOAD_HIT_PRE.SW_PF,r014c:u,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,4856,4780,4946
L1D.REPLACEMENT,r0151:u,2127,2081,2172
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,505,455,553
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,1,1,2
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,10089,9293,10773
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,7,6,8
CPL_CYCLES.RING0,r015c:u,141,141,141
CPL_CYCLES.RING123,r025c:u,687274,815574,827601
RS_EVENTS.EMPTY_CYCLES,r015e:u,62312,59519,65137
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,1144302,1259723,1542666
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,5860334,6446098,7803928
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,150437,1082372,803541
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,1202374,2160223,2518019
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,0,0,0
IDQ.EMPTY,r0279:u,51173,47030,51982
IDQ.MITE_UOPS,r0479:u,33497,30723,33313
IDQ.DSB_UOPS,r0879:u,83452,78696,83607
IDQ.MS_DSB_UOPS,r1079:u,2424,2376,2484
IDQ.MS_MITE_UOPS,r2079:u,68150,68182,68288
IDQ.MS_UOPS,r3079:u,70571,70558,70771
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,25052,25226,24889
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,16556,16637,16363
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,49748,49798,49884
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,10963,10980,10976
IDQ.MITE_ALL_UOPS,r3c79:u,187214,203800,205079
ICACHE.MISSES,r0280:u,608,610,594
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,231,265,269
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,144,162,164
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,144,151,144
ITLB_MISSES.WALK_DURATION,r1085:u,3822,3938,3973
ITLB_MISSES.STLB_HIT_4K,r2085:u,20,19,20
ITLB_MISSES.STLB_HIT_2M,r4085:u,0,0,0
ITLB_MISSES.STLB_HIT,r6085:u,20,18,20
ILD_STALL.LCP,r0187:u,50,48,54
ILD_STALL.IQ_FULL,r0487:u,5673,5619,5642
BR_INST_EXEC.COND.NOTAKEN,r4188:u,8812,8826,8884
BR_INST_EXEC.COND.TAKEN,r8188:u,72122,72120,72142
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,654,654,675
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,203,202,206
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,864,831,885
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,856,787,928
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,163,157,168
BR_INST_EXEC.ALL_BRANCHES,rff88:u,83686,83258,84065
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,335,301,329
BR_MISP_EXEC.COND.TAKEN,r8189:u,423,366,401
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,19,16,17
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,9,9,9
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,12,5,17
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,820,587,1031
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,190305,184152,196951
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,239236,106039,107352
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,247607,98450,98926
