Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,426,1837,1532,878,3504,5755,3488,669,7601,1876,7992,9312,8778,816,3502,5551,897,1953,784,1416,1034,794,787,1328,452,2504,668,898,941,1326,437,1376
MISALIGN_MEM_REF.LOADS,r0105:u,1444300,1444713,1444136,1444785,1444108,1444289,1443975,1444496,1444271,1444773,1444705,1444018,1443298,1444353,1443407,1443949,1444032,1444017,1444311,1443993,1444552,1444032,1444269,1444011,1444646,1443965,1444725,1443520,1443305,1443838,1443596,1443958
MISALIGN_MEM_REF.STORES,r0205:u,2,4334492,2,4332290,2,4332115,2,4335920,2,4334713,1,4334342,2,4332809,2,4332077,1,4332192,2,4332438,2,4332189,2,4332451,2,4332030,2,4332220,2,4332080,2,4331940
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,100062274,146365349,138893472,157075481,110163492,109160690,73899191,70928629,47550098,43191637,16108718,27264078,15923247,14851196,716935,5626600,1746099,707411,14046,14022,14092,14077,14058,14045,14105,14090,14051,14055,14100,14107,14081,14062
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,517,521,510,517,515,512,502,522,504,495,492,510,511,497,509,489,491,490,504,496,484,497,485,498,513,504,507,488,491,506,487,507
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,395,406,390,402,398,396,385,403,385,393,379,390,391,394,389,379,393,387,391,392,384,382,382,387,395,392,386,391,390,391,384,387
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,395,400,400,401,386,389,390,393,384,386,391,393,387,392,390,389,386,388,398,385,390,387,385,388,385,381,398,396,386,386,388,401
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,16474,17138,18027,16530,14948,16000,15126,14814,16936,15824,17213,16134,14564,16655,16390,14344,14426,14439,16916,12708,14937,14320,15160,14615,14173,13533,17430,16529,15866,15494,16255,14424
