Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,6,6,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,5,6,4,6,6
MISALIGN_MEM_REF.STORES,r0205:u,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,132602790,138443169,145412543,98391378,25642204,980289,641694,626426,622255,621584,618194,622432,623274,622646,623910,625013,625953,624710,625530,626774,625783,628625,626290,623674,622528,623804,621269,621556,623859,624390,625742,621939
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,533,527,9244,515,532,544,525,541,500,504,512,514,513,488,536,474,507,540,537,524,528,508,519,532,510,517,526,519,545,533,509,527
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,408,408,9108,407,415,423,407,433,384,398,394,395,401,400,421,394,406,418,414,404,408,395,401,416,399,394,409,404,421,411,397,411
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,394,416,9178,423,396,400,399,405,402,401,409,391,396,405,398,410,395,388,403,396,405,391,402,402,401,403,398,405,404,403,396,387
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,17827,21524,184678,20934,15947,18385,19264,19118,18086,19081,18110,17552,18411,17151,16963,18839,17221,16384,16653,15979,16119,15808,17204,16694,17773,17567,15290,16264,18009,17302,17995,20074
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,388,535,8654,428,371,604,622,496,604,399,419,389,456,539,413,414,409,377,433,476,628,464,444,478,413,392,374,832,459,353,472,468
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,410,440,8569,466,322,424,378,526,471,657,433,385,462,407,410,441,420,512,358,399,487,556,463,420,377,470,598,448,396,404,350,386
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,230,250,748,244,244,221,245,240,222,242,233,239,248,238,240,228,216,251,237,244,223,238,236,248,229,229,215,238,248,243,238,239
INT_MISC.RECOVERY_CYCLES,r030d:u,330773,340017,320808,325490,323194,333478,319604,330780,325244,319902,319544,315200,318101,321059,319864,319672,319177,341479,316991,309318,312458,317126,316741,317553,316884,323132,314349,320190,316503,315092,313651,318012
UOPS_ISSUED.ANY,r010e:u,555145944,555070314,554863130,554808056,554846645,554860803,554729631,554824108,554746468,554709065,554708986,554666098,554692186,554714976,554713162,554709127,554697925,554895639,554656761,554615427,554638472,554684452,554677585,554687571,554682278,554711667,554669094,554683562,554676377,554665263,554648519,554688837
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1052118,1052128,1052096,1052131,1052095,1052102,1052090,1052096,1052108,1052090,1052105,1052126,1052106,1052094,1052965,1052096,1052120,1052105,1052123,1052106,1052103,1052105,1052161,1052066,1052093,1052130,1052099,1052114,1052104,1052138,1052128,1052094
UOPS_ISSUED.SLOW_LEA,r200e:u,1057973,1058002,1057978,1057905,1057950,1057848,1057918,1057897,1057923,1057902,1057940,1057998,1057942,1057877,1058913,1057919,1057965,1057936,1057963,1057897,1057913,1057952,1058025,1057895,1057939,1057942,1057968,1057945,1057933,1057986,1058003,1057878
UOPS_ISSUED.SiNGLE_MUL,r400e:u,57759837,57738861,57731364,57715912,57724529,57721081,57713366,57714504,57713650,57713571,57713695,57710860,57710952,57713255,57740876,57714909,57714519,57711700,57705888,57706297,57706220,57711221,57711036,57711024,57709797,57709821,57709469,57711071,57711606,57708114,57707533,57714116
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,16364,15164,14838,13064,12822,13962,13052,13010,13925,12952,13209,14147,14254,13392,14140,13182,13156,13203,12457,13217,13235,13154,13332,13239,13242,13267,13384,13270,13330,13498,13528,13283
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,16865,18171,21485,13379,9076,10643,9690,10082,9343,9130,8617,8755,8527,8605,8624,9098,8577,8815,10009,8866,12703,11760,9769,11636,10415,12012,13426,13025,11354,9966,8994,9565
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,33504,33235,36619,26783,22685,25399,23670,24186,23029,22447,22147,23575,22913,22581,22471,23109,22506,22336,22798,22299,26262,25229,23431,25238,23954,25532,27143,26680,25005,23776,22811,23198
L2_RQSTS.RFO_HIT,r4224:u,638620,638235,640163,635327,636218,636180,636764,637470,636728,637109,637267,635964,637597,636848,637155,637270,636584,636670,637241,637135,637125,637247,636738,632264,636788,636018,636759,635174,635665,636900,636768,636596
L2_RQSTS.RFO_MISS,r2224:u,17539,17634,15750,15281,14914,15059,14231,13888,13691,12975,12833,15144,14039,13922,13885,13970,14483,13706,13273,13438,13806,13238,13629,14874,13220,13206,14140,14804,13815,13825,13632,13658
L2_RQSTS.ALL_RFO,re224:u,656360,656160,656539,649928,651110,650479,650271,651758,650149,649791,650289,651696,650748,651113,651452,650582,650223,650711,649312,651319,650317,646959,650454,649560,650503,649625,650506,651474,650001,650411,650866,649988
L2_RQSTS.CODE_RD_HIT,r4424:u,541,597,579,577,578,586,565,567,574,601,526,573,587,596,593,570,575,558,567,592,571,585,582,603,589,600,584,590,597,593,627,558
L2_RQSTS.CODE_RD_MISS,r2424:u,1549,1635,1610,1652,1625,1613,1599,1598,1608,1643,1532,1597,1596,1594,1618,1595,1615,1566,1614,1597,1605,1595,1592,1592,1630,1649,1614,1636,1631,1598,1640,1567
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,36902,33219,33316,29392,29415,30670,27902,29820,28149,28992,27698,30756,30436,29507,31018,30417,29093,29613,27303,27993,27837,36971,29089,29196,29108,30015,29259,30248,29350,30329,34501,28858
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,695527,691309,694570,679868,676700,677304,675081,677013,677928,673513,674994,675537,676644,677116,675583,675234,674532,675706,674461,674474,678237,675420,677413,676203,676552,676780,680194,679818,676945,676292,676128,674583
L2_RQSTS.ALL_CODE_RD,re424:u,2251,2174,2166,2202,2124,2132,2195,2236,2202,2241,2103,2190,2225,2223,2235,2164,2149,2214,2104,2175,2166,2202,2172,2251,2178,2224,2226,2144,2194,2158,2213,2185
L2_RQSTS.L2_PF_HIT,r5024:u,49426,32269,35985,25336,28636,32230,30945,27862,28470,27065,24793,26598,29862,28966,28294,27392,25834,26970,24488,24864,24405,26253,26760,24951,25840,24953,26465,26073,25401,25088,25731,24464
L2_RQSTS.L2_PF_MISS,r3024:u,1356154,1350937,1353451,1348998,1355274,1356689,1354146,1354211,1354626,1354192,1354260,1353904,1354389,1355508,1354307,1354797,1353427,1354270,1353698,1353224,1352798,1353806,1352645,1351397,1353566,1351742,1352007,1354038,1353118,1354138,1353830,1354078
L2_RQSTS.ALL_PF,rf824:u,2104927,2087563,2075018,2084589,2097190,2092918,2090412,2124030,2095176,2088235,2088368,2091298,2091862,2093412,2103542,2087612,2088195,2091607,2088097,2087663,2083888,2086144,2086538,2083492,2086372,2082836,2084568,2085768,2087157,2087238,2087182,2087730
L2_RQSTS.MISS,r3f24:u,1410978,1393729,1398959,1388990,1394171,1392829,1392149,1445515,1395333,1390615,1389291,1392049,1393540,1393674,1419272,1388959,1389305,1390916,1388660,1388159,1388841,1390834,1391096,1389331,1390633,1388826,1390472,1391018,1392000,1389375,1390084,1389156
L2_RQSTS.REFERENCES,rff24:u,2799009,2779521,2769761,2764813,2773154,2771383,2765450,2797774,2772865,2762589,2762866,2767025,2768461,2770385,2772215,2761894,2762432,2767468,2763334,2762901,2764192,2762521,2762724,2760113,2762052,2760511,2764556,2765406,2765398,2762894,2763312,2762244
L2_DEMAND_RQSTS.WB_HIT,r5027:u,652038,654842,654495,656540,656386,656272,656502,638124,655690,656836,657090,655956,655228,655318,651556,657047,656859,649372,654164,656291,656784,657060,656397,656755,656858,656441,655835,655474,654692,656457,655246,656830
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,48145,46561,58347,44919,52894,48116,57326,46028,44196,43003,41571,43563,44788,42400,43243,43759,47117,42555,40353,40576,42405,67763,44842,46999,44103,42866,45628,43052,43814,41708,42653,40860
LONGEST_LAT_CACHE.MISS,cache-misses:u,29651,23685,22978,23390,30153,27351,36204,25314,24123,25307,25849,20901,23041,20246,22088,23232,26060,20105,18249,19380,22962,43936,27553,32777,27992,26037,27854,21145,27668,19898,20806,24362
