Performance counter,Mnemonic,Median,199,455
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,5,6,6
MISALIGN_MEM_REF.STORES,r0205:u,17,21,20
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,135,327873,327895
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,339,352,326
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,264,264,266
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,264,269,265
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,6004,6010,6000
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,459,479,356
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,458,489,422
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,162,155,160
INT_MISC.RECOVERY_CYCLES,r030d:u,11973,11346,11425
UOPS_ISSUED.ANY,r010e:u,1213469,1210234,1210424
UOPS_ISSUED.FLAGS_MERGE,r100e:u,758,750,764
UOPS_ISSUED.SLOW_LEA,r200e:u,1030,1028,1056
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,532,518,535
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,360,347,368
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1129,1118,1130
L2_RQSTS.RFO_HIT,r4224:u,59,60,62
L2_RQSTS.RFO_MISS,r2224:u,109,112,109
L2_RQSTS.ALL_RFO,re224:u,214,218,212
L2_RQSTS.CODE_RD_HIT,r4424:u,506,435,580
L2_RQSTS.CODE_RD_MISS,r2424:u,1137,1035,1186
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1777,1666,1838
