Performance counter,Mnemonic,0
LD_BLOCKS.STORE_FORWARD,r0203:u,5
LD_BLOCKS.NO_SR,r0803:u,0
MISALIGN_MEM_REF.LOADS,r0105:u,37
MISALIGN_MEM_REF.STORES,r0205:u,24
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,1117532
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,121366
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,120532
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,120893
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,6135484
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,121036
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,95276
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,2382
INT_MISC.RECOVERY_CYCLES,r030d:u,18100655
UOPS_ISSUED.ANY,r010e:u,5483543059
UOPS_ISSUED.FLAGS_MERGE,r100e:u,67385374
UOPS_ISSUED.SLOW_LEA,r200e:u,67816969
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1679549
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,269117
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,2078305
L2_RQSTS.RFO_HIT,r4224:u,371
L2_RQSTS.RFO_MISS,r2224:u,13409
L2_RQSTS.ALL_RFO,re224:u,9852
L2_RQSTS.CODE_RD_HIT,r4424:u,3403
L2_RQSTS.CODE_RD_MISS,r2424:u,4156
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1642526
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,2053134
L2_RQSTS.ALL_CODE_RD,re424:u,7752
L2_RQSTS.L2_PF_HIT,r5024:u,220486
L2_RQSTS.L2_PF_MISS,r3024:u,3239454
L2_RQSTS.ALL_PF,rf824:u,11057765
L2_RQSTS.MISS,r3f24:u,8678586
L2_RQSTS.REFERENCES,rff24:u,13110700
L2_DEMAND_RQSTS.WB_HIT,r5027:u,8674
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,8212038
LONGEST_LAT_CACHE.MISS,cache-misses:u,8195634
CPU_CLK_UNHALTED.THREAD_P,cycles:u,2204179541
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,56687389
L1D_PEND_MISS.PENDING,r0148:u,1004523166
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,403495
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,394784
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,394806
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,8099296
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,319129
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,319007
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,132180
LOAD_HIT_PRE.SW_PF,r014c:u,45393
LOAD_HIT_PRE.HW_PF,r024c:u,60940824
L1D.REPLACEMENT,r0151:u,12588022
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,315766
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,4
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,2086207
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,120
CPL_CYCLES.RING0,r015c:u,131892
CPL_CYCLES.RING123,r025c:u,2201533125
RS_EVENTS.EMPTY_CYCLES,r015e:u,61945396
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,4105123514
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,3543042864
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,104057690
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,3591120370
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,214
IDQ.EMPTY,r0279:u,229391369
IDQ.MITE_UOPS,r0479:u,15671112
IDQ.DSB_UOPS,r0879:u,4897696411
IDQ.MS_DSB_UOPS,r1079:u,73507225
IDQ.MS_MITE_UOPS,r2079:u,61042595
IDQ.MS_UOPS,r3079:u,134549820
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,1519863792
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,822534736
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,40603205
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,7498384
IDQ.MITE_ALL_UOPS,r3c79:u,5047218458
ICACHE.MISSES,r0280:u,5145
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,686
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,456
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,454
ITLB_MISSES.WALK_DURATION,r1085:u,18945
ITLB_MISSES.STLB_HIT_4K,r2085:u,117
ITLB_MISSES.STLB_HIT_2M,r4085:u,0
ITLB_MISSES.STLB_HIT,r6085:u,118
ILD_STALL.LCP,r0187:u,150
ILD_STALL.IQ_FULL,r0487:u,4301490
BR_INST_EXEC.COND.NOTAKEN,r4188:u,309847838
BR_INST_EXEC.COND.TAKEN,r8188:u,239742004
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,78765
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,67411793
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,201844629
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,202183733
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,330
BR_INST_EXEC.ALL_BRANCHES,rff88:u,1021440679
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,19312
BR_MISP_EXEC.COND.TAKEN,r8189:u,2175671
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,21735
