Performance counter,Mnemonic,0
LD_BLOCKS.STORE_FORWARD,r0203:u,5
LD_BLOCKS.NO_SR,r0803:u,0
MISALIGN_MEM_REF.LOADS,r0105:u,38
MISALIGN_MEM_REF.STORES,r0205:u,25
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,6893247617
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,11054938
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,11040988
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,11036412
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,585150459
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,6751482
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,6885759
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,121324
INT_MISC.RECOVERY_CYCLES,r030d:u,48117285
UOPS_ISSUED.ANY,r010e:u,33097894217
UOPS_ISSUED.FLAGS_MERGE,r100e:u,67385310
UOPS_ISSUED.SLOW_LEA,r200e:u,67820453
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,174494576
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,25733084
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,211285853
L2_RQSTS.RFO_HIT,r4224:u,945
L2_RQSTS.RFO_MISS,r2224:u,103862
L2_RQSTS.ALL_RFO,re224:u,112596
L2_RQSTS.CODE_RD_HIT,r4424:u,3980
L2_RQSTS.CODE_RD_MISS,r2424:u,17483
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,167500097
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,211928374
L2_RQSTS.ALL_CODE_RD,re424:u,21793
L2_RQSTS.L2_PF_HIT,r5024:u,18746783
L2_RQSTS.L2_PF_MISS,r3024:u,330142722
L2_RQSTS.ALL_PF,rf824:u,1091470839
L2_RQSTS.MISS,r3f24:u,864255176
L2_RQSTS.REFERENCES,rff24:u,1302445292
L2_DEMAND_RQSTS.WB_HIT,r5027:u,283169
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,815096490
LONGEST_LAT_CACHE.MISS,cache-misses:u,814481848
CPU_CLK_UNHALTED.THREAD_P,cycles:u,33655493519
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,869303386
L1D_PEND_MISS.PENDING,r0148:u,106517106417
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,405176
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,396705
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,396901
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,8088638
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,321019
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,334432
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,132302
LOAD_HIT_PRE.SW_PF,r014c:u,3105687
LOAD_HIT_PRE.HW_PF,r024c:u,8836232393
L1D.REPLACEMENT,r0151:u,1254329222
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,316966
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,57
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,2091698
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,186
CPL_CYCLES.RING0,r015c:u,134202
CPL_CYCLES.RING123,r025c:u,34326615682
RS_EVENTS.EMPTY_CYCLES,r015e:u,188350390
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,361786215028
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,7771362141
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,466670041
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,316029582681
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,214
IDQ.EMPTY,r0279:u,344405935
IDQ.MITE_UOPS,r0479:u,38322006
IDQ.DSB_UOPS,r0879:u,5683954576
IDQ.MS_DSB_UOPS,r1079:u,73554993
IDQ.MS_MITE_UOPS,r2079:u,81857573
IDQ.MS_UOPS,r3079:u,155412566
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,1726812812
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,891128245
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,58134521
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,9564585
IDQ.MITE_ALL_UOPS,r3c79:u,5992754054
ICACHE.MISSES,r0280:u,17033
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,806
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,530
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,510
ITLB_MISSES.WALK_DURATION,r1085:u,29559
ITLB_MISSES.STLB_HIT_4K,r2085:u,117
ITLB_MISSES.STLB_HIT_2M,r4085:u,0
ITLB_MISSES.STLB_HIT,r6085:u,116
ILD_STALL.LCP,r0187:u,143
ILD_STALL.IQ_FULL,r0487:u,4352875
BR_INST_EXEC.COND.NOTAKEN,r4188:u,312400351
BR_INST_EXEC.COND.TAKEN,r8188:u,3682322469
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,80421
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,67412113
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,201844268
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,202183814
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,648
BR_INST_EXEC.ALL_BRANCHES,rff88:u,4462238245
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,1286903
BR_MISP_EXEC.COND.TAKEN,r8189:u,2180548
